leap,英[liːp]美[liːp],"vi.
跳; 冲动的行动
vt.
跳过，跃过; 使跳跃
n.
跳跃，飞跃; 跳跃的距离",http://res.iciba.com/resource/amp3/oxford/0/6a/82/6a82e24bf90844be53bc307b3b1de89c.mp3,http://res.iciba.com/resource/amp3/1/0/ea/ae/eaae6a5cd8c88bf714e5511b911b3bd8.mp3
volunteer,英[ˌvɒlənˈtɪə(r)]美[ˌvɑːlənˈtɪr],"n.
志愿者，自告奋勇者;
v.
自告奋勇; 主动提供（建议或信息); (未征得当事人同意）举荐",http://res.iciba.com/resource/amp3/0/0/2d/56/2d56df9a08100634d51940309237855d.mp3,http://res.iciba.com/resource/amp3/1/0/2d/56/2d56df9a08100634d51940309237855d.mp3
medium,英[ˈmiːdiəm]美[ˈmiːdiəm],"adj.
中等的; 中间的; 不深不浅的
n.
方式; 媒介; 巫师; 材料; 介质",http://res.iciba.com/resource/amp3/oxford/0/1a/41/1a41dc413f00559f993690fcd1584644.mp3,http://res.iciba.com/resource/amp3/1/0/07/5a/075a3e36a0a52dcbc568c05788e8a713.mp3
gym,英[dʒɪm]美[dʒɪm],"n.
<非正>健身房; 体育馆; 室内健身操; 体操",http://res.iciba.com/resource/amp3/oxford/0/2c/a0/2ca0e603672790f322ad406e36a4cf66.mp3,http://res.iciba.com/resource/amp3/1/0/e4/d8/e4d81f13f96fb9bc905f4ad89615032b.mp3
famous,英[ˈfeɪməs]美[ˈfeɪməs],"adj.
著名的，有名的",http://res.iciba.com/resource/amp3/oxford/0/f9/78/f978fab542c6810a1be97be5a92c0b0d.mp3,http://res.iciba.com/resource/amp3/1/0/8d/0b/8d0b6604701b9a30c2547ffb8ee6a3c1.mp3
collect,英[kəˈlekt]美[kəˈlekt],"v.
收集; 收藏; 领取; 接走; 积累; 聚集; 募捐; 收款; 赢得; 获得
adj.
受话人付费的",http://res.iciba.com/resource/amp3/oxford/0/c9/78/c978e36ee1923f4401d49f238dfed2d1.mp3,http://res.iciba.com/resource/amp3/1/0/07/88/0788a6922bd5f9f130e7ed8980193bab.mp3
film,英[fɪlm]美[fɪlm],"n.
影片，电影（业）; 胶卷; 薄层
v.
拍摄（电影）",http://res.iciba.com/resource/amp3/oxford/0/94/fe/94fe4d97d439501d0bcd06a2be75a7e6.mp3,http://res.iciba.com/resource/amp3/1/0/bd/bd/bdbd6db1d8cc09a957e86180fda9442a.mp3
movement,英[ˈmuːvmənt]美[ˈmuːvmənt],"n.
运动; 活动; 调遣; 逐渐变化; 进步; 增减; 乐章; 机件",http://res.iciba.com/resource/amp3/oxford/0/bb/cd/bbcda85741dc42a00efa64b83f4cec29.mp3,http://res.iciba.com/resource/amp3/1/0/74/bc/74bcc1e0384a916f56360c649f543f3a.mp3
craftsman,英[ˈkrɑːftsmən]美[ˈkræftsmən],"n.
工匠; 手艺人; 名匠; 技工",http://res.iciba.com/resource/amp3/oxford/0/43/6d/436d726c5d6dff43a7e8bfe675da2b1f.mp3,http://res.iciba.com/resource/amp3/1/0/07/5e/075ec2ba6d1badac8442155696b4d694.mp3
pitch,英[pɪtʃ]美[pɪtʃ],"n.
（体育比赛的）场地; 程度，顶点; 音高; 沥青
v.
抛，扔; 向前跌倒; 颠簸; 把（球）投给击球员; 把…定; 搭（帐篷）",http://res.iciba.com/resource/amp3/oxford/0/99/7a/997ad83c1ee5ee490bd0d33b6a71dccf.mp3,http://res.iciba.com/resource/amp3/1/0/8e/e0/8ee0b79fb35b0efe85b44c0ee243f8d5.mp3
