hero,英[ˈhɪərəʊ]美[ˈhɪroʊ],"n.
男主角; 英雄; 偶像",http://res.iciba.com/resource/amp3/0/0/f0/4a/f04af61b3f332afa0ceec786a42cd365.mp3,http://res.iciba.com/resource/amp3/1/0/f0/4a/f04af61b3f332afa0ceec786a42cd365.mp3
divorce,英[dɪˈvɔːs]美[dɪˈvɔːrs],"n.
离婚; 分离
v.
（与…）离婚; （使）分离，脱离",http://res.iciba.com/resource/amp3/0/0/ea/76/ea768d7c881dc9ca577f74114303a7f7.mp3,http://res.iciba.com/resource/amp3/1/0/ea/76/ea768d7c881dc9ca577f74114303a7f7.mp3
toil,英[tɔɪl]美[tɔɪl],"vi.
长时间或辛苦地工作; 艰难缓慢地移动; 跋涉
n.
报酬很低的苦活，苦工; 罗网，圈套",http://res.iciba.com/resource/amp3/oxford/0/c1/e0/c1e0596f24cbf6a2d7a7b1170a68335e.mp3,http://res.iciba.com/resource/amp3/1/0/0f/4d/0f4d3093a7937b974a8bd410113b18c5.mp3
supervisor,英[ˈsuːpəvaɪzə(r)]美[ˈsuːpərvaɪzər],"n.
管理者; 监督者; 指导者",http://res.iciba.com/resource/amp3/oxford/0/e2/c1/e2c10f1daf2a39cd6c90daacf4c46847.mp3,http://res.iciba.com/resource/amp3/1/0/09/34/09348c20a019be0318387c08df7a783d.mp3
hostess,英[ˈhəʊstəs]美[ˈhoʊstəs],"n.
女主人; 舞女; （电视或广播节目的）女主持人",http://res.iciba.com/resource/amp3/0/0/c2/b2/c2b2f076c396328a28f6c0bd5f6756af.mp3,http://res.iciba.com/resource/amp3/1/0/c2/b2/c2b2f076c396328a28f6c0bd5f6756af.mp3
Veterinary,英[ˈvetrənəri]美[ˈvetərəneri],"adj.
兽医的",http://res.iciba.com/resource/amp3/0/0/8a/05/8a05df59b380d496abf1a327758ab92b.mp3,http://res.iciba.com/resource/amp3/1/0/8a/05/8a05df59b380d496abf1a327758ab92b.mp3
marry,英[ˈmæri]美[ˈmæri],"v.
结婚; 为…主持婚礼; 把…嫁给; 为…娶亲; 相结合",http://res.iciba.com/resource/amp3/oxford/0/5a/71/5a719a7f8396ee6a4717f4870386d22a.mp3,http://res.iciba.com/resource/amp3/1/0/44/d7/44d7231696044319858dc2c9a498f0da.mp3
slave,英[sleɪv]美[sleɪv],"n.
奴隶; …的奴隶，耽迷于…的人; 奴隶般受控的人，苦工; [机]从动装置
vi.
奴隶般地工作，做苦工; 买卖奴隶，运输奴隶",http://res.iciba.com/resource/amp3/oxford/0/97/b1/97b19ac9486b2525f08bc48fc8cfd8d1.mp3,http://res.iciba.com/resource/amp3/1/0/03/15/03158cf39c6f316f9ce98a4e034cdc28.mp3
relative,英[ˈrelətɪv]美[ˈrelətɪv],"n.
亲戚; 同类事物
adj.
相对的; 比较的; 相比之下存在; 关于; 指代前面句子（的一部分）",http://res.iciba.com/resource/amp3/oxford/0/ce/d2/ced25c8c402bd25fcbfdd737ea9e9404.mp3,http://res.iciba.com/resource/amp3/1/0/99/c4/99c483e1d11b1a279a2a1a3960528487.mp3
appointment,英[əˈpɔɪntmənt]美[əˈpɔɪntmənt],"n.
预约，约定; 任命; 职位",http://res.iciba.com/resource/amp3/oxford/0/47/b1/47b185f0cbc73b930e76c230af6683e5.mp3,http://res.iciba.com/resource/amp3/1/0/b1/ca/b1caa385c37f1fec467494c8fde4f49b.mp3
